                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r24.08.1"          1.0000000000000000E+001          8.9000000000000004E+000          2.2000000000000002E+000                       "gfortran"                         "13.3.0"           "aarch64-macos-24.7.1"                       "20250323" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                               5          2.3532405435909027E+003          2.1999998318118479E+000          1.8961534934967435E+001          2.0533698202750855E+002          2.3071571014326807E+002          7.3769700302985504E+000          6.9944706101535283E+000         -4.6976005079860211E-001         -4.7555909979830119E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3860276534147737E+053         -1.8482033535738512E+035          0.0000000000000000E+000         -1.8482033535738512E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              10          8.2088560530190152E+003          2.1999994133058687E+000          1.8961532530265437E+001          2.0533699504792861E+002          2.3071572477295348E+002          7.3769690947511570E+000          6.9944697231147153E+000         -4.6965653559035941E-001         -4.7544366854876918E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3860273118867301E+053         -1.8482040372090164E+035          0.0000000000000000E+000         -1.8482040372090164E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              15          2.2779501237439174E+004          2.1999983719285701E+000          1.8961526546593817E+001          2.0533702744693008E+002          2.3071576117632594E+002          7.3769667668084908E+000          6.9944675158769858E+000         -4.6941615184514718E-001         -4.7542011624341313E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3860264620550696E+053         -1.8482057383143235E+035          0.0000000000000000E+000         -1.8482057383143235E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              20          5.9035929062735522E+004          2.1999957806454953E+000          1.8961511657282053E+001          2.0533710806619905E+002          2.3071585175977424E+002          7.3769609741336337E+000          6.9944620235550881E+000         -4.6878875116140289E-001         -4.7560910620099844E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3860243473982486E+053         -1.8482099712226279E+035          0.0000000000000000E+000         -1.8482099712226279E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              25          1.4925352354897693E+005          2.1999893326847260E+000          1.8961474607773720E+001          2.0533730867388746E+002          2.3071607716167134E+002          7.3769465600519926E+000          6.9944483568504650E+000         -4.6716883316143687E-001         -4.7432037340719485E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3860190854324564E+053         -1.8482205041393482E+035          0.0000000000000000E+000         -1.8482205041393482E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              30          3.7374376826098119E+005          2.1999732879756864E+000          1.8961382415898566E+001          2.0533780785712477E+002          2.3071663804171320E+002          7.3769106928765575E+000          6.9944143494052096E+000         -4.6325585049574253E-001         -4.7113149018031880E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3860059918357579E+053         -1.8482467139412604E+035          0.0000000000000000E+000         -1.8482467139412604E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              35          9.3234733398275555E+005          2.1999333628665756E+000          1.8961153007794451E+001          2.0533905002880871E+002          2.3071803374023449E+002          7.3768214418367775E+000          6.9943297260744792E+000         -4.5434440434945578E-001         -4.6386590254740451E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3859734098980725E+053         -1.8483119356257069E+035          0.0000000000000000E+000         -1.8483119356257069E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              40          2.2386251233268152E+006          2.1998399950116858E+000          1.8960616514360783E+001          2.0534195505757381E+002          2.3072129781749871E+002          7.3766127194946653E+000          6.9941318260855176E+000         -4.3604213438852057E-001         -4.4890424292968462E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3858972130600730E+053         -1.8484725389794655E+035          0.0000000000000000E+000         -1.8484725389794655E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
                              45          3.8380178800746715E+006          2.1997256676126806E+000          1.8959959576658857E+001          2.0534551244130768E+002          2.3072529487787381E+002          7.3763571384061368E+000          6.9938894969985235E+000         -4.1470210192084439E-001         -4.3181539241466949E-001          1.0000000000000000E+001          8.9000000000000004E+000         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          5.3858039083517787E+053         -1.8486965317378793E+035          0.0000000000000000E+000         -1.8486965317378793E+035          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                0 
