                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                   "aarch64-macos-24.7.1"                                 "CRMATH"                               "20250323"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87 
                            model_number                                 star_age                                star_mass                             log_abs_mdot                                   log_dt                                num_zones                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                             fe_core_mass                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                 log_Teff                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                           surf_avg_omega            surf_avg_omega_div_omega_crit                             log_center_T                           log_center_Rho                             log_center_P                                center_mu                                center_ye                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                       pp                                      cno                                tri_alpha                        v_div_csound_surf                              num_retries                             model_number                                      age                              period_days                        binary_separation                                  v_orb_1                                  v_orb_2                                     rl_1                                     rl_2                   rl_relative_overflow_1                   rl_relative_overflow_2                              star_1_mass                              star_2_mass                        lg_mtransfer_rate                           lg_mstar_dot_1                           lg_mstar_dot_2                         lg_system_mdot_1                         lg_system_mdot_2                           lg_wind_mdot_1                           lg_wind_mdot_2                      fixed_xfer_fraction                        eff_xfer_fraction                                    J_orb                                     Jdot                                  jdot_mb                                  jdot_gr                                  jdot_ml                                  jdot_ls                        jdot_missing_wind                               extra_jdot                              donor_index                         point_mass_index 
                                       1                  3.1622776601683819E+002                  8.9000000000000004E+000                 -9.8999999999999986E+001                  2.5000000000000000E+000                                     2477                  3.0871414563674229E+000                  3.4679116929731668E-001                  7.8130182656899194E-008                  9.9999998349014074E-001                  9.9999994165200123E-001                  3.4679116929731668E-001                  7.8130182656899194E-008                  9.9999998349014074E-001                  9.9999994165200123E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.7382050575760882E+033                  5.4474592832300555E+033                  6.1530871996733559E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.9681307977829661E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7667479120682446E+000                 -3.1117554707728473E+001                 -9.8999999999999986E+001                  3.7667479120682446E+000                  4.3765173461408029E+000                  3.8781602747250363E+003                  3.5886257534250796E+000                  5.6393134529543099E-001                  4.2595949433571834E+000                  1.8180044559881786E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4907257387390747E+000                  1.0183757865140641E+000                  1.6660183305070404E+001                  6.1822190963265089E-001                  8.4858037341795933E-001                  6.9716053476934003E-001                  2.8232483490130245E-001                  1.2120154763485491E-004                  9.0582382689069259E-003                  3.4468833607860789E-003                  9.3805276451495393E-003                  6.2210494873019551E+000                  2.4990409921055194E+000                  1.7334777825782841E+000                  3.7627064982531793E+000                 -3.1117554707728473E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+000                  3.1622776601683819E+002                  2.1999999773989107E+000                  1.8961535771499062E+001                  2.0533697749805265E+002                  2.3071570505399174E+002                  7.3769703557505109E+000                  6.9944709187306477E+000                 -4.6978068200668699E-001                 -4.7618675404830935E-001                  1.0000000000000000E+001                  8.9000000000000004E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.3860277722232571E+053                 -1.8482031157554980E+035                  0.0000000000000000E+000                 -1.8482031157554980E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                  8.2088560530190152E+003                  8.9000000000000004E+000                 -9.8999999999999986E+001                  3.2126312144286233E+000                                      972                  2.6069654811694876E+000                  2.9158076535185251E-001                  7.8130183545077614E-008                  9.9999997859184886E-001                  9.9999995360021343E-001                  2.9158076535185251E-001                  7.8130183545077614E-008                  9.9999997859184886E-001                  9.9999995360021343E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3118465166816774E+033                  5.0112850352363297E+033                  6.1492038738806218E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.9484083585282434E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5698666565324038E+000                 -3.1179712481739799E+001                 -1.2041199826559247E+001                  3.5698666565324042E+000                  4.3755459280557503E+000                  3.8545283693265578E+003                  3.5859712464260154E+000                  5.6454692796600436E-001                  4.2583637780160366E+000                  1.8128579607429961E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4897855775555779E+000                  1.0154702769986981E+000                  1.6656303309357217E+001                  6.1827874425628127E-001                  8.4852179652095616E-001                  6.9704347760287155E-001                  2.8243299421638418E-001                  5.5269442732379792E-005                  9.0438306677313677E-003                  3.4468833607860815E-003                  9.3805276451495393E-003                  6.2207243069240539E+000                  2.4993356956328365E+000                  1.5332277314585603E+000                  3.5658566150598756E+000                 -3.1179712481739799E+001                  0.0000000000000000E+000                                        0                  1.0000000000000000E+001                  8.2088560530190152E+003                  2.1999994133058687E+000                  1.8961532530265437E+001                  2.0533699504792861E+002                  2.3071572477295348E+002                  7.3769690947511570E+000                  6.9944697231147153E+000                 -4.6965653559035941E-001                 -4.7544366854876918E-001                  1.0000000000000000E+001                  8.9000000000000004E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.3860273118867301E+053                 -1.8482040372090164E+035                  0.0000000000000000E+000                 -1.8482040372090164E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                  5.9035929062735522E+004                  8.9000000000000004E+000                 -9.8999999999999986E+001                  4.0044436749048709E+000                                      971                  2.6241807465358522E+000                  2.9482628150078471E-001                  7.8130183545077614E-008                  9.9999997913610350E-001                  9.9999995374945871E-001                  2.9482628150078471E-001                  7.8130183545077614E-008                  9.9999997913610350E-001                  9.9999995374945871E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3552363048514623E+033                  5.0498827209746699E+033                  6.1523020226386824E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.9470128127727640E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5903863540405530E+000                 -3.1115752636570921E+001                 -1.2041199826559247E+001                  3.5903863540405530E+000                  4.3764208509277918E+000                  3.8832557847848780E+003                  3.5891959978759491E+000                  5.6440945794688646E-001                  4.2586387180542724E+000                  1.8140059952253305E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4907738740673615E+000                  1.0185069839210239E+000                  1.6660089710153027E+001                  6.1863212838270576E-001                  8.4815098572286862E-001                  6.9630186979961517E-001                  2.8318707883611560E-001                  5.5441763861748065E-005                  8.9445769274780380E-003                  3.4468833607860815E-003                  9.3805276451495393E-003                  6.2187165518142038E+000                  2.5013422683031723E+000                  1.5096016816480335E+000                  3.5867655185052687E+000                 -3.1115752636570921E+001                  0.0000000000000000E+000                                        0                  2.0000000000000000E+001                  5.9035929062735522E+004                  2.1999957806454953E+000                  1.8961511657282053E+001                  2.0533710806619905E+002                  2.3071585175977424E+002                  7.3769609741336337E+000                  6.9944620235550881E+000                 -4.6878875116140289E-001                 -4.7560910620099844E-001                  1.0000000000000000E+001                  8.9000000000000004E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.3860243473982486E+053                 -1.8482099712226279E+035                  0.0000000000000000E+000                 -1.8482099712226279E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                  3.7374376826098119E+005                  8.9000000000000004E+000                 -9.8999999999999986E+001                  4.7962561353811193E+000                                      966                  2.6475960699606857E+000                  2.9482628150078471E-001                  7.8130183545077614E-008                  9.9999997859184886E-001                  9.9999995247842177E-001                  2.9482628150078471E-001                  7.8130183545077614E-008                  9.9999997859184886E-001                  9.9999995247842177E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3593067417734662E+033                  5.0429997837924924E+033                  6.2325603912030826E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  7.5851181085647791E+033                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5916815792388608E+000                 -3.1187814768736398E+001                 -9.8999999999999986E+001                  3.5916815792388603E+000                  4.3749404851337035E+000                  3.8963122068397570E+003                  3.5906537490985833E+000                  5.6809906514638042E-001                  4.2512595036552847E+000                  1.7834441091477907E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4893198192284158E+000                  1.0124768365937256E+000                  1.6651207403022433E+001                  6.2085831660569391E-001                  8.4582542288007001E-001                  6.9165074445234442E-001                  2.8790937758961699E-001                  6.0212598201082892E-005                  8.3815589099159211E-003                  3.4468833607860815E-003                  9.3805276451495393E-003                  6.2062027946571270E+000                  2.5138999094238050E+000                  1.4818848777919404E+000                  3.5882956375018145E+000                 -3.1187814768736398E+001                  0.0000000000000000E+000                                        0                  3.0000000000000000E+001                  3.7374376826098119E+005                  2.1999732879756864E+000                  1.8961382415898566E+001                  2.0533780785712477E+002                  2.3071663804171320E+002                  7.3769106928765575E+000                  6.9944143494052096E+000                 -4.6325585049574253E-001                 -4.7113149018031880E-001                  1.0000000000000000E+001                  8.9000000000000004E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.3860059918357579E+053                 -1.8482467139412604E+035                  0.0000000000000000E+000                 -1.8482467139412604E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                  2.2386251233268152E+006                  8.9000000000000004E+000                 -9.8999999999999986E+001                  5.4994276294536117E+000                                      963                  2.6302518511000206E+000                  2.9482628150078466E-001                  7.8130183489566463E-008                  9.9999997532632090E-001                  9.9999994532454628E-001                  2.9482628150078466E-001                  7.8130183489566463E-008                  9.9999997532632090E-001                  9.9999994532454628E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3633827626763775E+033                  4.9865303639564460E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6049133451844417E+000                 -3.1325722423021901E+001                 -1.1865108567503565E+001                  3.6049133451844422E+000                  4.3694214697257001E+000                  4.0206967536664888E+003                  3.6043013192666504E+000                  5.8596088104642197E-001                  4.2155358718552014E+000                  1.6426153308110079E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4854515861389679E+000                  9.9267395414372250E-001                  1.6618874382634019E+001                  6.3470186871506029E-001                  8.3174497661644753E-001                  6.6348985889043643E-001                  3.1635243320098633E-001                  7.9121325217826807E-005                  6.1496046457761386E-003                  3.4468833607860815E-003                  9.3805276451495393E-003                  6.1310481731682520E+000                  2.5895332521726186E+000                  1.4060878076791705E+000                  3.6021569833633196E+000                 -3.1325722423021901E+001                  0.0000000000000000E+000                                        0                  4.0000000000000000E+001                  2.2386251233268152E+006                  2.1998399950116858E+000                  1.8960616514360783E+001                  2.0534195505757381E+002                  2.3072129781749871E+002                  7.3766127194946653E+000                  6.9941318260855176E+000                 -4.3604213438852057E-001                 -4.4890424292968462E-001                  1.0000000000000000E+001                  8.9000000000000004E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.3858972130600730E+053                 -1.8484725389794655E+035                  0.0000000000000000E+000                 -1.8484725389794655E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      50                  5.3421977029017806E+006                  8.9000000000000004E+000                 -9.8999999999999986E+001                  5.4593998982920313E+000                                      963                  2.4568537764344658E+000                  2.7528650515180658E-001                  7.8130183600588765E-008                  2.9877483433657681E-001                  2.9819457564930529E-001                  2.7528650515180658E-001                  7.8130183600588765E-008                  2.9877483433657681E-001                  2.9819457564930529E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3669412628523053E+033                  4.8907782572848552E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6311945911637413E+000                 -3.1179594340636832E+001                 -1.2041199826559247E+001                  3.6311945911637413E+000                  4.3633255067857339E+000                  4.2729902216784267E+003                  3.6307318989777486E+000                  6.1136809678190407E-001                  4.1647214403842376E+000                  1.4612396241698134E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4853024534355583E+000                  9.7866782924122686E-001                  1.6588409000767619E+001                  6.6161050554082590E-001                  8.0608579528737911E-001                  6.1217152035140021E-001                  3.6794436525955293E-001                  9.8151215143420876E-005                  3.9868085345109525E-003                  3.4468833607860789E-003                  9.3805276451495393E-003                  6.0004790515033886E+000                  2.7206643835819024E+000                  1.3173766782758081E+000                  3.6290809913123225E+000                 -3.1179594340636832E+001                  0.0000000000000000E+000                                        0                  5.0000000000000000E+001                  5.3421977029017797E+006                  2.1996181370873926E+000                  1.8959341684148129E+001                  2.0534885856013923E+002                  2.3072905456195423E+002                  7.3761167478180747E+000                  6.9936615707772880E+000                 -3.9373437928172456E-001                 -4.1566286863466190E-001                  1.0000000000000000E+001                  8.9000000000000004E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.3857161477476662E+053                 -1.8489114832809932E+035                  0.0000000000000000E+000                 -1.8489114832809932E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      60                  7.8342050757131493E+006                  8.9000000000000004E+000                 -9.8999999999999986E+001                  5.3386285487464198E+000                                      961                  2.3224421850338377E+000                  2.5889681534078918E-001                  7.8130183378544160E-008                  9.9999996734391883E-001                  9.9999991796949939E-001                  2.5889681534078918E-001                  7.8130183378544160E-008                  9.9999996734391883E-001                  9.9999991796949939E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3656769397532076E+033                  4.7130648972022067E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6544552926880574E+000                 -3.0927710958569861E+001                 -9.8999999999999986E+001                  3.6544552926880569E+000                  4.3587359691844316E+000                  4.5083642135360178E+003                  3.6540189937847920E+000                  6.3219071938802873E-001                  4.1230761951719881E+000                  1.3276273640320911E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4874951971862735E+000                  9.7402955289841342E-001                  1.6570724224474809E+001                  6.8782462599356320E-001                  7.8302974369057132E-001                  5.6605943645465528E-001                  4.1419963914325064E-001                  1.0891341061842150E-004                  2.8561013577441041E-003                  3.4468833607860789E-003                  9.3805276451495393E-003                  5.8896985494626577E+000                  2.8317362393611702E+000                  1.2473983888946785E+000                  3.6527508620034652E+000                 -3.0927710958569861E+001                  0.0000000000000000E+000                                        0                  6.0000000000000000E+001                  7.8342050757131502E+006                  2.1994399693086426E+000                  1.8958317873290227E+001                  2.0535440323857918E+002                  2.3073528453772940E+002                  7.3757184350210698E+000                  6.9932839106890876E+000                 -3.5439397371084569E-001                 -3.8693071343233981E-001                  1.0000000000000000E+001                  8.9000000000000004E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.3855707305385053E+053                 -1.8492707708269251E+035                  0.0000000000000000E+000                 -1.8492707708269251E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      70                  9.6992338520471696E+006                  8.9000000000000004E+000                 -9.8999999999999986E+001                  5.2132054655982580E+000                                      954                  2.2215745900506687E+000                  2.4902685730298441E-001                  7.8130183822633370E-008                  9.9999996190137252E-001                  9.9999990508818037E-001                  2.4902685730298441E-001                  7.8130183822633370E-008                  9.9999996190137252E-001                  9.9999990508818037E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3600367128473447E+033                  4.5934942588767038E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6730495938568222E+000                 -3.0685650371142795E+001                 -9.8999999999999986E+001                  3.6730495938568217E+000                  4.3549880649452621E+000                  4.7056149720979438E+003                  3.6726163889823527E+000                  6.4898522546514814E-001                  4.0894871830177495E+000                  1.2288169209621374E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4900589127290456E+000                  9.7315130638798808E-001                  1.6559414917271262E+001                  7.1102930422787958E-001                  7.6404279442141920E-001                  5.2808555043252869E-001                  4.5225434335752424E-001                  1.1554397915933001E-004                  2.2186969668935288E-003                  3.4468833607860789E-003                  9.3805276451495393E-003                  5.8028084616266629E+000                  2.9187848013837838E+000                  1.1910542744553598E+000                  3.6716157372461149E+000                 -3.0685650371142795E+001                  0.0000000000000000E+000                                        0                  7.0000000000000000E+001                  9.6992338520471733E+006                  2.1993066117372249E+000                  1.8957551538582422E+001                  2.0535855379082591E+002                  2.3073994807957970E+002                  7.3754202931147299E+000                  6.9930012275830178E+000                 -3.1894328476295514E-001                 -3.6273271933695783E-001                  1.0000000000000000E+001                  8.9000000000000004E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.3854618814436760E+053                 -1.8495400951612365E+035                  0.0000000000000000E+000                 -1.8495400951612365E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
                                      80                  1.1105727779859599E+007                  8.9000000000000004E+000                 -9.8999999999999986E+001                  5.0936205034656421E+000                                      953                  2.1441678855864206E+000                  2.3913651508880790E-001                  7.8130183600588765E-008                  9.9999995972435374E-001                  9.9999989305256387E-001                  2.3913651508880790E-001                  7.8130183600588765E-008                  9.9999995972435374E-001                  9.9999989305256387E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.3514524073772756E+033                  4.5190690557364368E+033                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6877849391242270E+000                 -3.0473871404884783E+001                 -1.2041199826559247E+001                  3.6877849391242270E+000                  4.3518225367353818E+000                  4.8679266174290078E+003                  3.6873440227449907E+000                  6.6268009876622846E-001                  4.0620974364155886E+000                  1.1537120705946787E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.4924878142618176E+000                  9.7389804366077071E-001                  1.6551661405532922E+001                  7.3117184890429121E-001                  7.4854009815345601E-001                  4.9708016624068124E-001                  4.8330965751185984E-001                  1.2002531734131897E-004                  1.8254326424564829E-003                  3.4468833607860789E-003                  9.3805276451495393E-003                  5.7347763475737921E+000                  2.9869109519835750E+000                  1.1442702828789437E+000                  3.6865407350803050E+000                 -3.0473871404884783E+001                  0.0000000000000000E+000                                        0                  8.0000000000000000E+001                  1.1105727779859604E+007                  2.1992060322863245E+000                  1.8956973551972897E+001                  2.0536168439575079E+002                  2.3074346561320311E+002                  7.3751954278856759E+000                  6.9927880217235101E+000                 -2.8713899686862154E-001                 -3.4229713230379732E-001                  1.0000000000000000E+001                  8.9000000000000004E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.0000000000000000E+000                  1.0000000000000000E+000                  5.3853797835901325E+053                 -1.8497429888520400E+035                  0.0000000000000000E+000                 -1.8497429888520400E+035                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000000000000000E+000                  0.0000000000000000E+000 
