                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                   "aarch64-macos-24.7.1"                                 "CRMATH"                               "20250216"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                        eps_grav_integral                                       pp                                      cno                                tri_alpha                     eps_nuc_rate_r34_pp2                     eps_nuc_rate_r34_pp3                eps_nuc_rate_r_c12_ag_o16             eps_nuc_rate_r_h1_he3_wk_he4      eps_nuc_rate_r_he3_he3_to_h1_h1_he4        eps_nuc_rate_r_he4_he4_he4_to_c12              eps_nuc_rate_r_ne20_ag_mg24               eps_nuc_rate_r_o16_ag_ne20              eps_nuc_rate_rbe7ec_li7_aux               eps_nuc_rate_rbe7pg_b8_aux                 eps_nuc_rate_rc12_to_n14                  eps_nuc_rate_rc12ap_aux               eps_nuc_rate_rc12ap_to_o16                  eps_nuc_rate_rf19pa_aux                  eps_nuc_rate_rf19pg_aux                 eps_nuc_rate_rn14_to_c12                 eps_nuc_rate_rn14_to_o16                 eps_nuc_rate_rn14ag_lite                  eps_nuc_rate_rn14pg_aux                  eps_nuc_rate_rn15pa_aux                  eps_nuc_rate_rn15pg_aux                 eps_nuc_rate_rna23pa_aux                 eps_nuc_rate_rna23pg_aux                 eps_nuc_rate_rne20ap_aux             eps_nuc_rate_rne20ap_to_mg24                 eps_nuc_rate_ro16_to_n14                  eps_nuc_rate_ro16ap_aux              eps_nuc_rate_ro16ap_to_ne20                  eps_nuc_rate_ro16gp_aux                 eps_nuc_rate_rpep_to_he3                  eps_nuc_rate_rpp_to_he3                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                          center_eps_grav                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       2                                      708                  2.1999999999999999E-005                 -4.9208187539523749E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.0657133191478785E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.0657133191478785E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2227224022877081E+000                 -9.8999999999999986E+001                 -2.1072099696478681E+001                 -5.2227224022877081E+000                  0.0000000000000000E+000                 -5.2227224023130363E+000                 -1.5456909344887203E+001                 -9.8999999999999986E+001                  5.1971640109177242E+017                  1.7090107875263569E+004                  0.0000000000000000E+000                  2.7497847121840676E+018                  8.8574292239538166E+018                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3455490042457018E-053                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3367237687210857E+018                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5625102348406086E+013                  3.8715280863429492E+013                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2068122240676937E+010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1764831165357300E+023                  2.2920924982139978E+028                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6443311481419127E+000                  1.2631004527022613E-001                  2.9714588721578389E-001                  3.8437758528715653E+000                  0.0000000000000000E+000                  6.5947138103348104E+000                  4.9883316260686997E-002                  1.4769071290772814E+001                  1.4769071290772814E+001                  4.9883316260686997E-002                  6.5947138103348104E+000                  6.2124831043177409E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861292E-003                  9.3805276451495376E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      11                                      708                  3.2150418534399993E-004                 -4.2081875395237516E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.0518230388973189E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.0518230388973189E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2227224020525780E+000                 -9.8999999999999986E+001                 -2.1072099696478681E+001                 -5.2227224020525780E+000                  0.0000000000000000E+000                 -5.2227224020779062E+000                 -1.5456909344137580E+001                 -9.8999999999999986E+001                  5.1971640193659885E+017                  1.7090107902743421E+004                  0.0000000000000000E+000                  2.7497847145493673E+018                  8.8574292377974395E+018                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3455490431676844E-053                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3367237710283530E+018                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5625102397065770E+013                  3.8715280936946219E+013                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2068122306659008E+010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1764831228169385E+023                  2.2920924994549418E+028                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6443311430253424E+000                  1.2631002306715416E-001                  2.9714588634738925E-001                  3.8437758546083547E+000                  0.0000000000000000E+000                  6.5947138103579288E+000                  4.9883316334376607E-002                  1.4769071290869659E+001                  1.4769071290869659E+001                  4.9883316334376607E-002                  6.5947138103579288E+000                  6.2124831043176099E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861292E-003                  9.3805276451495376E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      22                                      708                  2.7103071945621809E-003                 -3.3371938329998785E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.0404046817915468E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.0404046817915468E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2227224000944421E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2227224000944421E+000                  0.0000000000000000E+000                 -5.2227224001197694E+000                 -1.5456909337852288E+001                 -9.8999999999999986E+001                  5.1971640901857542E+017                  1.7090108133346443E+004                  0.0000000000000000E+000                  2.7497847343103053E+018                  8.8574293538232259E+018                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3455493706199689E-053                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3367237903738836E+018                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5625102805225734E+013                  3.8715281553608234E+013                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2068122860304382E+010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1764831749572509E+023                  2.2920925097893629E+028                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6443311060030252E+000                  1.2630987425975967E-001                  2.9714588598832625E-001                  3.8437758553264807E+000                  0.0000000000000000E+000                  6.5947138105526966E+000                  4.9883316937408162E-002                  1.4769071291667792E+001                  1.4769071291667792E+001                  4.9883316937408162E-002                  6.5947138105526966E+000                  6.2124831043164852E-001                  8.5000496627254196E-001                  1.2966429887659305E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861292E-003                  9.3805276451495376E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      33                                      708                  2.0459313512300091E-002                 -2.4662001264760058E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.2989447791252559E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.2989447791252559E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2227223854452101E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2227223854452101E+000                  0.0000000000000000E+000                 -5.2227223854705374E+000                 -1.5456909290736336E+001                 -9.8999999999999986E+001                  5.1971646209846912E+017                  1.7090109864436930E+004                  0.0000000000000000E+000                  2.7497848822370632E+018                  8.8574302233523845E+018                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3455518341267098E-053                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3367239353923308E+018                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5625105865755578E+013                  3.8715286177561406E+013                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2068127012815369E+010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1764835648283894E+023                  2.2920925871033711E+028                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6443311084986143E+000                  1.2630988138910260E-001                  2.9714588456181895E-001                  3.8437758581794950E+000                  0.0000000000000000E+000                  6.5947138120119080E+000                  4.9883321435735761E-002                  1.4769071297627930E+001                  1.4769071297627930E+001                  4.9883321435735761E-002                  6.5947138120119080E+000                  6.2124831043080497E-001                  8.5000496627254207E-001                  1.2966429887659310E+000                  0.0000000000000000E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4468833607861297E-003                  9.3805276451495428E-003                  3.4468833607861292E-003                  9.3805276451495376E-003                  7.0000000000000029E-001                  2.7997020236474884E-001                                        0                                        2 
                                      44                                      708                  1.5233591616703465E-001                 -1.5952064199521330E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.4635855366149308E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.4635855366149308E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2227222764953378E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2227222764953378E+000                  0.0000000000000000E+000                 -5.2227222765206660E+000                 -1.5456908939967494E+001                 -9.8999999999999986E+001                  5.1971685723258502E+017                  1.7090122761147959E+004                  0.0000000000000000E+000                  2.7497859826564972E+018                  8.8574366958519101E+018                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3455702025028592E-053                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3367250150261558E+018                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5625128654280355E+013                  3.8715320607243883E+013                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2068157936314217E+010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1764864641541573E+023                  2.2920931621063724E+028                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6443311076463472E+000                  1.2630985554330210E-001                  2.9714587334345344E-001                  3.8437758806162261E+000                  0.0000000000000000E+000                  6.5947138228641968E+000                  4.9883354873657915E-002                  1.4769071341937517E+001                  1.4769071341937517E+001                  4.9883354873657915E-002                  6.5947138228641968E+000                  6.2124831042453033E-001                  8.5000496627254163E-001                  1.2966429887659310E+000                  0.0000000000000000E+000                  6.9999999999999973E-001                  2.7997020236474879E-001                  3.4468833607861262E-003                  9.3805276451495393E-003                  3.4468833607861292E-003                  9.3805276451495376E-003                  6.9999999999999984E-001                  2.7997020236474884E-001                                        0                                        2 
                                      55                                      708                  1.1321901128706655E+000                 -7.2421271342826010E-001                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.4642940659998528E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.4642940659998528E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2227214668813220E+000                 -9.8999999999999986E+001                 -2.0771069700814699E+001                 -5.2227214668813220E+000                  0.0000000000000000E+000                 -5.2227214669066502E+000                 -1.5456906333065122E+001                 -9.8999999999999986E+001                  5.1971979383630016E+017                  1.7090218612728266E+004                  0.0000000000000000E+000                  2.7497941602251192E+018                  8.8574847985218550E+018                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3457067259506943E-053                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3367330388561751E+018                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5625298020411496E+013                  3.8715576491386164E+013                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2068387764390121E+010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1765080091298973E+023                  2.2920974349978819E+028                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6443311009930763E+000                  1.2630966219122230E-001                  2.9714578997395574E-001                  3.8437760473552216E+000                  0.0000000000000000E+000                  6.5947139035101463E+000                  4.9883603338614108E-002                  1.4769071671192480E+001                  1.4769071671192480E+001                  4.9883603338614108E-002                  6.5947139035101463E+000                  6.2124831037790251E-001                  8.5000496627254096E-001                  1.2966429887659336E+000                  0.0000000000000000E+000                  6.9999999999999751E-001                  2.7997020236474884E-001                  3.4468833607861258E-003                  9.3805276451495410E-003                  3.4468833607861292E-003                  9.3805276451495376E-003                  6.9999999999999929E-001                  2.7997020236474884E-001                                        0                                        2 
                                      66                                      708                  8.4125888149162993E+000                  1.4678099309561271E-001                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.4630980809293513E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.4630980809293513E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2227154513183534E+000                 -9.8999999999999986E+001                 -2.0594978441759018E+001                 -5.2227154513183534E+000                  0.0000000000000000E+000                 -5.2227154513436824E+000                 -1.5456886963457624E+001                 -9.8999999999999986E+001                  5.1974161366945645E+017                  1.7090930818790195E+004                  0.0000000000000000E+000                  2.7498549213974262E+018                  8.8578422149625436E+018                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3467211854657738E-053                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3367926584154278E+018                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5626556466601777E+013                  3.8717477794922281E+013                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2070095466637730E+010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1766680939000040E+023                  2.2921291835217233E+028                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6443310515941567E+000                  1.2630822573510259E-001                  2.9714517054373429E-001                  3.8437772862156643E+000                  0.0000000000000000E+000                  6.5947145027367418E+000                  4.9885449483809997E-002                  1.4769074117634773E+001                  1.4769074117634773E+001                  4.9885449483809997E-002                  6.5947145027367418E+000                  6.2124831003144043E-001                  8.5000496627253586E-001                  1.2966429887659519E+000                  0.0000000000000000E+000                  6.9999999999998164E-001                  2.7997020236474879E-001                  3.4468833607861236E-003                  9.3805276451495393E-003                  3.4468833607861292E-003                  9.3805276451495376E-003                  6.9999999999999840E-001                  2.7997020236474884E-001                                        0                                        2 
                                      77                                      708                  6.2506560590575845E+001                  1.0177746996194856E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.4650127672481833E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.4650127672481833E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2226707561064565E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.2226707561064565E+000                  0.0000000000000000E+000                 -5.2226707561317909E+000                 -1.5456743048925050E+001                 -9.8999999999999986E+001                  5.1990376188103475E+017                  1.7098320356894361E+004                  0.0000000000000000E+000                  2.7503064144123796E+018                  8.8604982408914033E+018                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.3542623687581873E-053                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3372357099405041E+018                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5635908547547035E+013                  3.8731607238603359E+013                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2082786390328220E+010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1778576005145475E+023                  2.2923650866043899E+028                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6443306845597214E+000                  1.2629755293877801E-001                  2.9714056821444373E-001                  3.8437864908742454E+000                  0.0000000000000000E+000                  6.5947189549227074E+000                  4.9899166277978343E-002                  1.4769092294568145E+001                  1.4769092294568145E+001                  4.9899166277978343E-002                  6.5947189549227074E+000                  6.2124830745728443E-001                  8.5000496627249589E-001                  1.2966429887660851E+000                  0.0000000000000000E+000                  6.9999999999986229E-001                  2.7997020236474873E-001                  3.4468833607861206E-003                  9.3805276451495393E-003                  3.4468833607861292E-003                  9.3805276451495376E-003                  6.9999999999998930E-001                  2.7997020236474884E-001                                        0                                        2 
                                      88                                      708                  4.6442929892133031E+002                  1.8887684061433587E+000                  1.0000000000000000E+000                  3.3298505910360667E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.4806509958141569E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999907649995E-001                  2.4806509958141569E-003                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.2223387227903713E+000                 -9.8999999999999986E+001                 -2.1072099696478681E+001                 -5.2223387227903713E+000                  0.0000000000000000E+000                 -5.2223387228157492E+000                 -1.5455673941149151E+001                 -9.8999999999999986E+001                  5.2110990901240666E+017                  1.7167340551123743E+004                  0.0000000000000000E+000                  2.7536627936524580E+018                  8.8802542143382723E+018                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.4104965671483220E-053                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3405316377307192E+018                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5705489837214566E+013                  3.8836733030324734E+013                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2177221455690666E+010                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1866991000315942E+023                  2.2941183317715532E+028                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6443279576124739E+000                  1.2621826453950719E-001                  2.9710637790930217E-001                  3.8438548714845289E+000                  0.0000000000000000E+000                  6.5947520276234535E+000                  5.0001069730297477E-002                  1.4769227329773425E+001                  1.4769227329773425E+001                  5.0001069730297477E-002                  6.5947520276234535E+000                  6.2124828833644741E-001                  8.5000496627220046E-001                  1.2966429887670792E+000                  0.0000000000000000E+000                  6.9999999999897566E-001                  2.7997020236474879E-001                  3.4468833607861197E-003                  9.3805276451495393E-003                  3.4468833607861292E-003                  9.3805276451495376E-003                  6.9999999999992157E-001                  2.7997020236474884E-001                                        0                                        2 
