                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                   "aarch64-macos-24.7.1"                                 "CRMATH"                               "20250209"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                     Teff                                 log_Teff                 photosphere_black_body_T               photosphere_column_density                  photosphere_cell_free_e                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                              center_neut                                center_h1                                center_h2                               center_he3                               center_he4                               center_li7                               center_be7                                center_b8                               center_c12                               center_c13                               center_n13                               center_n14                               center_n15                               center_o16                               center_o17                               center_o18                               center_f19                              center_ne22                             surface_neut                               surface_h1                               surface_h2                              surface_he3                              surface_he4                              surface_li7                              surface_be7                               surface_b8                              surface_c12                              surface_c13                              surface_n13                              surface_n14                              surface_n15                              surface_o16                              surface_o17                              surface_o18                              surface_f19                             surface_ne22                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      601                  5.0000000000000004E-006                 -5.3010299956639804E+000                  3.0012077059625206E-002                  3.1775801963243659E+001                 -9.8999999999999986E+001                  3.0008161256681827E-002                  9.9986792903511690E-001                  9.8406175874643509E-008                  9.9999999979159326E-001                  9.9993973584233853E-001                  9.9986792903511690E-001                  9.8406175874643509E-008                  9.9999999979159326E-001                  9.9993973584233853E-001                  1.5668053089851168E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.5668053089851168E+000                  1.5668053089851168E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3844955374613642E+031                  2.5147558804487619E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  7.7875837925103065E+002                  2.8914027325955178E+000                  7.7875837925103065E+002                  0.0000000000000000E+000                  1.0000000000000026E-004                 -5.4602327486451205E+000                 -9.9026867864909862E-001                  4.8959010374843164E+000                  0.0000000000000000E+000                  5.9124160381377981E+000                  2.2789956109516689E+000                  1.6737047673706254E+001                  1.6737047673706254E+001                  2.2789956109516689E+000                  5.9124160381377981E+000                  7.2089381510288897E-001                  8.6731070771559504E-001                  1.2553758784095448E+000                  0.0000000000000000E+000                  7.3489999999869260E-001                  2.7499997385365306E-005                  8.5000003921952057E-005                  2.3999999999999999E-001                  1.9499579781832319E-008                  6.4559930916489474E-050                  1.1773858383760107E-085                  5.3441247817364538E-003                  6.4870923433302610E-005                  0.0000000000000000E+000                  1.5792532512907079E-003                  6.2194712945121320E-006                  1.4681376815947680E-002                  5.8181633206788321E-006                  3.3127246334187115E-005                  7.8100262134296628E-007                  3.2719088444414005E-003                  0.0000000000000000E+000                  7.3490000000000000E-001                  2.7500000000000001E-005                  8.5000000000000020E-005                  2.3999999999999999E-001                  1.9499579781832316E-008                  1.4116222729671696E-092                  0.0000000000000000E+000                  5.3441247817364547E-003                  6.4870923433302624E-005                  0.0000000000000000E+000                  1.5792532512907082E-003                  6.2194712945121320E-006                  1.4681376815947680E-002                  5.8181633206788346E-006                  3.3127246334187115E-005                  7.8100262134296628E-007                  3.2719088444414001E-003                  2.2055875431116468E-002                  7.2028984943100531E-003                                        1                                       18 
                                       2                                      747                  1.1000000000000000E-005                 -5.2218487496163561E+000                  3.0012077059625206E-002                  3.1775801963243659E+001                 -9.8999999999999986E+001                  2.5465683388839248E-002                  8.4248388117559903E-001                  9.8406175597087753E-008                  9.9600709990314151E-001                  9.2084345027256109E-001                  8.4248388117559903E-001                  9.8406175597087753E-008                  9.9600709990314151E-001                  9.2084345027256109E-001                  1.5654759741699908E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.5654759741699908E+000                  1.5654759741699908E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3757002962944686E+031                  2.5026284517568962E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.2758098570332368E+002                  2.9178105038653888E+000                  8.2758098570332368E+002                  0.0000000000000000E+000                  1.0000000000000026E-004                 -5.3545974842817001E+000                 -9.9026658900713027E-001                  4.8958968582003806E+000                  0.0000000000000000E+000                  5.9121334689494569E+000                  2.2790177119330464E+000                  1.6737009135282783E+001                  1.6737009135282783E+001                  2.2790177119330464E+000                  5.9121334689494569E+000                  7.2089381513995798E-001                  8.6731070771559471E-001                  1.2553758784115618E+000                  1.0302335467583411E-099                  7.3489999999741262E-001                  2.7499994825598153E-005                  8.5000007761602904E-005                  2.3999999999999999E-001                  1.9499579781832319E-008                  1.1293603449049899E-049                  2.0302636551366856E-085                  5.3441247817364538E-003                  6.4870923433302610E-005                  1.1100631010240957E-099                  1.5792532512907079E-003                  6.2194712945121311E-006                  1.4681376815947679E-002                  5.8181633206788312E-006                  3.3127246334187115E-005                  7.8100262134296628E-007                  3.2719088444413996E-003                  9.9486181892430693E-100                  7.3490000000000000E-001                  2.7500000000000001E-005                  8.5000000000000006E-005                  2.3999999999999999E-001                  1.9499579781832316E-008                  2.6825100217398978E-092                  9.9486181892430693E-100                  5.3441247817364547E-003                  6.4870923433302624E-005                  9.9486181892430693E-100                  1.5792532512907082E-003                  6.2194712945121320E-006                  1.4681376815947680E-002                  5.8181633206788346E-006                  3.3127246334187115E-005                  7.8100262134296628E-007                  3.2719088444414001E-003                  2.2055875431113942E-002                  7.2028984943100505E-003                                        1                                        8 
                                       3                                      756                  1.6535815801428696E-005                 -5.2568183690126373E+000                  3.0012077059625206E-002                  3.1775801963243659E+001                 -9.8999999999999986E+001                  2.5465683388840667E-002                  8.4248388117559903E-001                  9.8406175763621206E-008                  9.9619770702790988E-001                  9.1746122804360508E-001                  8.4248388117559903E-001                  9.8406175763621206E-008                  9.9619770702790988E-001                  9.1746122804360508E-001                  1.5644100548219333E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.5644100548219333E+000                  1.5644100548219333E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3756041730140135E+031                  2.5030022223598732E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.6110944959940343E+002                  2.9350583550960740E+000                  8.6110944959940343E+002                  0.0000000000000000E+000                  1.0000000000000026E-004                 -5.2856012690636183E+000                 -9.9026418385945936E-001                  4.8958920479050381E+000                  0.0000000000000000E+000                  5.9119375655035213E+000                  2.2790653975841306E+000                  1.6737032128569385E+001                  1.6737032128569385E+001                  2.2790653975841306E+000                  5.9119375655035213E+000                  7.2089381517435269E-001                  8.6731070771559482E-001                  1.2553758784131288E+000                  1.0531636873131577E-099                  7.3489999999641864E-001                  2.7499992837232609E-005                  8.5000010744151275E-005                  2.3999999999999999E-001                  1.9499579781832319E-008                  1.4396951702207453E-049                  2.5574650790301210E-085                  5.3441247817364538E-003                  6.4870923433302610E-005                  1.1288418944163025E-099                  1.5792532512907079E-003                  6.2194712945121311E-006                  1.4681376815947679E-002                  5.8181633206788312E-006                  3.3127246334187115E-005                  7.8100262134296628E-007                  3.2719088444413996E-003                  1.0000000000000000E-099                  7.3490000000000000E-001                  2.7500000000000001E-005                  8.5000000000000006E-005                  2.3999999999999999E-001                  1.9499579781832316E-008                  4.4710878596493493E-091                  1.0000000000000000E-099                  5.3441247817364547E-003                  6.4870923433302624E-005                  1.0000000000000000E-099                  1.5792532512907082E-003                  6.2194712945121320E-006                  1.4681376815947680E-002                  5.8181633206788346E-006                  3.3127246334187115E-005                  7.8100262134296628E-007                  3.2719088444414001E-003                  2.2055875431111593E-002                  7.2028984943100435E-003                                        1                                        7 
                                       4                                      754                  2.0964468442571657E-005                 -5.3537283820206945E+000                  3.0012077059625206E-002                  3.1775801963243659E+001                 -9.8999999999999986E+001                  2.5640574237970146E-002                  8.4851452760993018E-001                  9.8406175985665811E-008                  9.9619770702790988E-001                  9.1746122804292973E-001                  8.4851452760993018E-001                  9.8406175985665811E-008                  9.9619770702790988E-001                  9.1746122804292973E-001                  1.5636301843131610E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.5636301843131610E+000                  1.5636301843131610E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3755319782494564E+031                  2.5032958898812498E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8357698625638523E+002                  2.9462443956647424E+000                  8.8357698625638523E+002                  0.0000000000000000E+000                  1.0000000000000026E-004                 -5.2408539719534550E+000                 -9.9026261644171554E-001                  4.8958889130695509E+000                  0.0000000000000000E+000                  5.9118056823648431E+000                  2.2790983383795980E+000                  1.6737048911177268E+001                  1.6737048911177268E+001                  2.2790983383795980E+000                  5.9118056823648431E+000                  7.2089381519936202E-001                  8.6731070771559482E-001                  1.2553758784142333E+000                  1.0681983860834313E-099                  7.3489999999571765E-001                  2.7499991435392959E-005                  8.5000012846910729E-005                  2.3999999999999999E-001                  1.9499579781832319E-008                  1.6317584970588211E-049                  2.8744211966889365E-085                  5.3441247817364538E-003                  6.4870923433302610E-005                  1.1245055444373184E-099                  1.5792532512907079E-003                  6.2194712945121311E-006                  1.4681376815947679E-002                  5.8181633206788312E-006                  3.3127246334187115E-005                  7.8100262134296628E-007                  3.2719088444413992E-003                  1.0000000000000000E-099                  7.3490000000000000E-001                  2.7500000000000001E-005                  8.5000000000000006E-005                  2.3999999999999999E-001                  1.9499579781832316E-008                  1.0577744526515259E-090                  1.0000000000000000E-099                  5.3441247817364547E-003                  6.4870923433302624E-005                  1.0000000000000000E-099                  1.5792532512907082E-003                  6.2194712945121320E-006                  1.4681376815947680E-002                  5.8181633206788346E-006                  3.3127246334187115E-005                  7.8100262134296628E-007                  3.2719088444414001E-003                  2.2055875431109737E-002                  7.2028984943100435E-003                                        1                                        3 
                                       5                                      756                  2.4938165606691918E-005                 -5.4008052335933243E+000                  3.0012077059625206E-002                  3.1775801963243659E+001                 -9.8999999999999986E+001                  2.5640574237971166E-002                  8.4851452760992996E-001                  9.8406175541576602E-008                  9.9619770702790966E-001                  9.1746122804290819E-001                  8.4851452760992996E-001                  9.8406175541576602E-008                  9.9619770702790966E-001                  9.1746122804290819E-001                  1.5629812079056475E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.5629812079056475E+000                  1.5629812079056475E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3754627592026931E+031                  2.5035446685119864E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.9936920566169772E+002                  2.9539380132740010E+000                  8.9936920566169772E+002                  0.0000000000000000E+000                  1.0000000000000026E-004                 -5.2100766494085287E+000                 -9.9026119038776839E-001                  4.8958860609616561E+000                  0.0000000000000000E+000                  5.9117029924997366E+000                  2.2791244976751206E+000                  1.6737062771131800E+001                  1.6737062771131800E+001                  2.2791244976751206E+000                  5.9117029924997366E+000                  7.2089381521985252E-001                  8.6731070771559482E-001                  1.2553758784151254E+000                  1.0778872330715057E-099                  7.3489999999515176E-001                  2.7499990303561372E-005                  8.5000014544658087E-005                  2.3999999999999991E-001                  1.9499579781832319E-008                  1.7716833698891092E-049                  3.1002275341106356E-085                  5.3441247817364538E-003                  6.4870923433302610E-005                  1.1143928129505793E-099                  1.5792532512907079E-003                  6.2194712945121311E-006                  1.4681376815947679E-002                  5.8181633206788312E-006                  3.3127246334187115E-005                  7.8100262134296618E-007                  3.2719088444413992E-003                  1.0000000000000000E-099                  7.3490000000000000E-001                  2.7500000000000001E-005                  8.5000000000000006E-005                  2.3999999999999999E-001                  1.9499579781832316E-008                  1.8160135036988316E-090                  1.0000000000000000E-099                  5.3441247817364547E-003                  6.4870923433302624E-005                  1.0000000000000000E-099                  1.5792532512907082E-003                  6.2194712945121320E-006                  1.4681376815947680E-002                  5.8181633206788346E-006                  3.3127246334187115E-005                  7.8100262134296628E-007                  3.2719088444414001E-003                  2.2055875431108086E-002                  7.2028984943100435E-003                                        1                                        3 
                                       6                                      756                  2.9706602203636231E-005                 -5.3216239875457001E+000                  3.0012077059625206E-002                  3.1775801963243659E+001                 -9.8999999999999986E+001                  2.5809525080445518E-002                  8.5434187667287975E-001                  9.8406175541576602E-008                  9.9619770702790966E-001                  9.1746122804290242E-001                  8.5434187667287975E-001                  9.8406175541576602E-008                  9.9619770702790966E-001                  9.1746122804290242E-001                  1.5622675795649581E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.5622675795649581E+000                  1.5622675795649581E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3753713298804197E+031                  2.5038205788358202E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1439580591048502E+002                  2.9611342253989155E+000                  9.1439580591048502E+002                  0.0000000000000000E+000                  1.0000000000000026E-004                 -5.1812885167619100E+000                 -9.9025954831428864E-001                  4.8958827768146964E+000                  0.0000000000000000E+000                  5.9115966316397746E+000                  2.2791522729950069E+000                  1.6737078180342024E+001                  1.6737078180342024E+001                  2.2791522729950069E+000                  5.9115966316397746E+000                  7.2089381524202378E-001                  8.6731070771559482E-001                  1.2553758784160787E+000                  1.0848170270897230E-099                  7.3489999999454714E-001                  2.7499989094003650E-005                  8.5000016358994650E-005                  2.3999999999999991E-001                  1.9499579781832319E-008                  1.9061457792792108E-049                  3.3124060414301418E-085                  5.3441247817364538E-003                  6.4870923433302610E-005                  1.1020011675848471E-099                  1.5792532512907079E-003                  6.2194712945121311E-006                  1.4681376815947679E-002                  5.8181633206788312E-006                  3.3127246334187115E-005                  7.8100262134296618E-007                  3.2719088444413996E-003                  1.0000000000000000E-099                  7.3490000000000000E-001                  2.7500000000000001E-005                  8.5000000000000006E-005                  2.3999999999999999E-001                  1.9499579781832316E-008                  3.0537660969653771E-090                  1.0000000000000000E-099                  5.3441247817364547E-003                  6.4870923433302624E-005                  1.0000000000000000E-099                  1.5792532512907082E-003                  6.2194712945121320E-006                  1.4681376815947680E-002                  5.8181633206788346E-006                  3.3127246334187115E-005                  7.8100262134296628E-007                  3.2719088444414001E-003                  2.2055875431106080E-002                  7.2028984943100435E-003                                        1                                        3 
                                       7                                      756                  3.5428726119969409E-005                 -5.2424427414980750E+000                  3.0012077059625206E-002                  3.1775801963243659E+001                 -9.8999999999999986E+001                  2.5809525085688786E-002                  8.5434187667287975E-001                  9.8406175541576602E-008                  9.9619770702790966E-001                  9.1394838916398524E-001                  8.5434187667287975E-001                  9.8406175541576602E-008                  9.9619770702790966E-001                  9.1394838916398524E-001                  1.5614911329020511E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.5614911329020511E+000                  1.5614911329020511E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3752491955925844E+031                  2.5041191480780483E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.2933648360722680E+002                  2.9681729868844831E+000                  9.2933648360722680E+002                  0.0000000000000000E+000                  1.0000000000000026E-004                 -5.1531297941900558E+000                 -9.9025770999949669E-001                  4.8958791001851134E+000                  0.0000000000000000E+000                  5.9114868985521403E+000                  2.2791815878221802E+000                  1.6737095098815423E+001                  1.6737095098815423E+001                  2.2791815878221802E+000                  5.9114868985521403E+000                  7.2089381526586993E-001                  8.6731070771559482E-001                  1.2553758784170879E+000                  1.0886691785102200E-099                  7.3489999999390621E-001                  2.7499987812523631E-005                  8.5000018281214642E-005                  2.3999999999999991E-001                  1.9499579781832319E-008                  2.0339207784072107E-049                  3.5090170114395218E-085                  5.3441247817364555E-003                  6.4870923433302624E-005                  1.0909318914135781E-099                  1.5792532512907079E-003                  6.2194712945121311E-006                  1.4681376815947679E-002                  5.8181633206788312E-006                  3.3127246334187121E-005                  7.8100262134296618E-007                  3.2719088444413996E-003                  1.0000000000000000E-099                  7.3490000000000000E-001                  2.7500000000000001E-005                  8.5000000000000006E-005                  2.3999999999999999E-001                  1.9499579781832316E-008                  5.0327945611940958E-090                  1.0000000000000000E-099                  5.3441247817364547E-003                  6.4870923433302624E-005                  1.0000000000000000E-099                  1.5792532512907082E-003                  6.2194712945121320E-006                  1.4681376815947680E-002                  5.8181633206788346E-006                  3.3127246334187115E-005                  7.8100262134296628E-007                  3.2719088444414001E-003                  2.2055875431103704E-002                  7.2028984943100435E-003                                        1                                        3 
                                       8                                      756                  4.2295274819569215E-005                 -5.1632614954504499E+000                  3.0012077059625206E-002                  3.1775801963243659E+001                 -9.8999999999999986E+001                  2.5809525085690132E-002                  8.5434187667287975E-001                  9.8406175541576602E-008                  9.9619770702790966E-001                  9.1394838907083276E-001                  8.5434187667287975E-001                  9.8406175541576602E-008                  9.9619770702790966E-001                  9.1394838907083276E-001                  1.5606564849271047E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.5606564849271047E+000                  1.5606564849271047E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3750887618065042E+031                  2.5044346772763058E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.4428479424342254E+002                  2.9751029963266942E+000                  9.4428479424342254E+002                  0.0000000000000000E+000                  1.0000000000000026E-004                 -5.1254056774770360E+000                 -9.9025567052740848E-001                  4.8958750212409363E+000                  0.0000000000000000E+000                  5.9113742545975621E+000                  2.2792123451113402E+000                  1.6737113496584136E+001                  1.6737113496584136E+001                  2.2792123451113402E+000                  5.9113742545975621E+000                  7.2089381529134289E-001                  8.6731070771559504E-001                  1.2553758784181515E+000                  1.0897029437110175E-099                  7.3489999999323152E-001                  2.7499986462966060E-005                  8.5000020305550989E-005                  2.3999999999999991E-001                  1.9499579781832319E-008                  2.1546605008070684E-049                  3.6897604181345295E-085                  5.3441247817364538E-003                  6.4870923433302610E-005                  1.0829390365360375E-099                  1.5792532512907073E-003                  6.2194712945121294E-006                  1.4681376815947675E-002                  5.8181633206788287E-006                  3.3127246334187115E-005                  7.8100262134296597E-007                  3.2719088444413992E-003                  1.0000000000000000E-099                  7.3490000000000000E-001                  2.7500000000000001E-005                  8.5000000000000006E-005                  2.3999999999999999E-001                  1.9499579781832316E-008                  8.1839930086339475E-090                  1.0000000000000000E-099                  5.3441247817364547E-003                  6.4870923433302624E-005                  1.0000000000000000E-099                  1.5792532512907082E-003                  6.2194712945121320E-006                  1.4681376815947680E-002                  5.8181633206788346E-006                  3.3127246334187115E-005                  7.8100262134296628E-007                  3.2719088444414001E-003                  2.2055875431100828E-002                  7.2028984943100435E-003                                        1                                        3 
                                       9                                      756                  5.0535133259088988E-005                 -5.0840802494028257E+000                  3.0012077059625206E-002                  3.1775801963243659E+001                 -9.8999999999999986E+001                  2.5802254846456700E-002                  8.5434187667287975E-001                  9.8406175541576602E-008                  9.9619770702790966E-001                  9.1394838907079368E-001                  8.5434187667287975E-001                  9.8406175541576602E-008                  9.9619770702790966E-001                  9.1394838907079368E-001                  1.5597711234625911E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  1.5597711234625911E+000                  1.5597711234625911E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3748838407686901E+031                  2.5047591543653025E+031                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.5819622617848961E+002                  2.9814544560722358E+000                  9.5819622617848961E+002                  0.0000000000000000E+000                  1.0000000000000009E-004                 -5.0999951072844194E+000                 -9.9025330492218422E-001                  4.8958702900304880E+000                  0.0000000000000000E+000                  5.9112593858224596E+000                  2.2792443727453224E+000                  1.6737133285760081E+001                  1.6737133285760081E+001                  2.2792443727453224E+000                  5.9112593858224596E+000                  7.2089381531833119E-001                  8.6731070771559504E-001                  1.2553758784192681E+000                  1.0884240861011216E-099                  7.3489999999252287E-001                  2.7499985045719399E-005                  8.5000022431420930E-005                  2.3999999999999991E-001                  1.9499579781832319E-008                  2.2690300462457433E-049                  3.8561796089522984E-085                  5.3441247817364555E-003                  6.4870923433302624E-005                  1.0782696013478880E-099                  1.5792532512907079E-003                  6.2194712945121311E-006                  1.4681376815947675E-002                  5.8181633206788287E-006                  3.3127246334187121E-005                  7.8100262134296618E-007                  3.2719088444413983E-003                  1.0000000000000000E-099                  7.3490000000000000E-001                  2.7500000000000001E-005                  8.5000000000000006E-005                  2.3999999999999999E-001                  1.9499579781832316E-008                  1.3198276573359473E-089                  1.0000000000000000E-099                  5.3441247817364547E-003                  6.4870923433302624E-005                  1.0000000000000000E-099                  1.5792532512907082E-003                  6.2194712945121320E-006                  1.4681376815947680E-002                  5.8181633206788346E-006                  3.3127246334187115E-005                  7.8100262134296628E-007                  3.2719088444414001E-003                  2.2055875431097390E-002                  7.2028984943100435E-003                                        1                                        3 
