                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                   "aarch64-macos-24.7.1"                                 "CRMATH"                               "20250320"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90                                       91                                       92                                       93                                       94                                       95                                       96                                       97                                       98                                       99                                      100                                      101                                      102                                      103                                      104                                      105                                      106                                      107                                      108                                      109                                      110                                      111                                      112                                      113                                      114                                      115                                      116                                      117                                      118                                      119                                      120                                      121                                      122                                      123                                      124                                      125                                      126                                      127                                      128                                      129                                      130                                      131                                      132                                      133                                      134                                      135                                      136                                      137                                      138                                      139                                      140                                      141                                      142                                      143                                      144                                      145                                      146                                      147                                      148                                      149                                      150                                      151                                      152                                      153                                      154                                      155                                      156                                      157                                      158                                      159                                      160                                      161                                      162                                      163                                      164                                      165                                      166 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                                star_mdot                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                           he_core_radius                             co_core_mass                           co_core_radius                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                            photosphere_r                               luminosity                                    log_L                                    log_R                                    log_g                                  gravity                        v_div_csound_surf                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                   surf_avg_Lrad_div_Ledd                        grav_dark_L_polar                     grav_dark_Teff_polar                   grav_dark_L_equatorial                grav_dark_Teff_equatorial                    rotational_mdot_boost            surf_r_equatorial_div_r_polar                  surf_r_equatorial_div_r                       surf_r_polar_div_r                             log_center_T                           log_center_Rho                             log_center_P                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4               log_total_angular_momentum                          k_below_const_q                          q_below_const_q                             k_const_mass                             q_const_mass                              num_retries                                num_iters                               mix_type_1                               mix_qtop_1                               mix_type_2                               mix_qtop_2                               mix_type_3                               mix_qtop_3                               mix_type_4                               mix_qtop_4                               mix_type_5                               mix_qtop_5                               mix_type_6                               mix_qtop_6                               mix_type_7                               mix_qtop_7                               mix_type_8                               mix_qtop_8                               mix_type_9                               mix_qtop_9                              mix_type_10                              mix_qtop_10                              mix_type_11                              mix_qtop_11                              mix_type_12                              mix_qtop_12                              mix_type_13                              mix_qtop_13                              mix_type_14                              mix_qtop_14                              mix_type_15                              mix_qtop_15                              mix_type_16                              mix_qtop_16                              mix_type_17                              mix_qtop_17                              mix_type_18                              mix_qtop_18                              mix_type_19                              mix_qtop_19                              mix_type_20                              mix_qtop_20                          mix_relr_type_1                           mix_relr_top_1                          mix_relr_type_2                           mix_relr_top_2                          mix_relr_type_3                           mix_relr_top_3                          mix_relr_type_4                           mix_relr_top_4                          mix_relr_type_5                           mix_relr_top_5                          mix_relr_type_6                           mix_relr_top_6                          mix_relr_type_7                           mix_relr_top_7                          mix_relr_type_8                           mix_relr_top_8                          mix_relr_type_9                           mix_relr_top_9                         mix_relr_type_10                          mix_relr_top_10                         mix_relr_type_11                          mix_relr_top_11                         mix_relr_type_12                          mix_relr_top_12                         mix_relr_type_13                          mix_relr_top_13                         mix_relr_type_14                          mix_relr_top_14                         mix_relr_type_15                          mix_relr_top_15                         mix_relr_type_16                          mix_relr_top_16                         mix_relr_type_17                          mix_relr_top_17                         mix_relr_type_18                          mix_relr_top_18                         mix_relr_type_19                          mix_relr_top_19                         mix_relr_type_20                          mix_relr_top_20 
                                       1                                     2496                  6.4150029909958457E+003                  3.8071968632008439E+000                  2.9999999942766991E+000                  3.3775627164251802E+001                 -8.9217442729309658E-013                 -1.2049550229250267E+001                  5.8820053112822679E-001                  1.9603192465061442E-001                  7.8133688356830903E-008                  2.0343336566695613E-001                  2.0055421826264208E-001                  2.3224179301266273E-001                  7.8133688356830903E-008                  9.9959529050780460E-001                  9.9951712439296969E-001                  1.9237616462900557E+000                 -3.5712873704180488E+001                 -1.3370258545823472E+001                  1.9237616462900560E+000                  1.1904888571093408E+000                  1.8350200944651351E+000                 -3.5712873704180488E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.9715998706229333E+031                  7.7742059573248918E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0856679387994328E+000                  2.0053757823713654E+000                  7.9754824802295957E+001                  1.9017569653546922E+000                  3.0219576594297659E-001                  4.3107973493083094E+000                  2.0454899465396069E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7857222744564216E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2639931455501289E+002                  3.2246773789167030E-002                  7.9754824802295957E+001                  1.2180579167159311E+004                  7.9754824802295957E+001                  1.2180579167159311E+004                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  7.3798725587749185E+000                  1.5942797981513315E+000                  1.7105640818675639E+001                  1.7105640818675639E+001                  1.5942797981513315E+000                  7.3798725587749185E+000                  6.1849336981209724E-001                  8.4856352086622522E-001                  1.3005109823906251E+000                  6.9712606346205430E-001                  2.8232665516665989E-001                  4.1108530879595682E-005                  9.1942669732744207E-003                  3.4468833607860798E-003                  9.3805276451495480E-003                  2.0978041618961498E+000                  8.4160435863833338E-001                 -9.8999999999999986E+001                                      640                  9.9499868566663308E-001                                      665                  9.8980115261927593E-001                                        0                                        4                                        1                  1.9606684408345879E-001                                        2                  2.0055421826264208E-001                                        1                  2.0384479624923635E-001                                        2                  2.3265314390928477E-001                                        0                  9.9909719111049122E-001                                        4                  9.9918583822280482E-001                                        0                  9.9933857758681310E-001                                        4                  9.9942462108597563E-001                                        0                  9.9951712439296969E-001                                        4                  9.9960940233396156E-001                                        0                  9.9964898544350000E-001                                        4                  9.9968474713308986E-001                                        0                  9.9981784514839567E-001                                        4                  9.9986017629646284E-001                                        0                  9.9988018346389040E-001                                        4                  9.9989348734615735E-001                                        0                  9.9990355706975609E-001                                        4                  9.9992293500160201E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  1.5037645987865292E-001                                        2                  1.5176039135094135E-001                                        1                  1.5276702569836198E-001                                        2                  1.6132089276352052E-001                                        0                  7.5817015084047912E-001                                        4                  7.6315270802245516E-001                                        0                  7.7287616980994656E-001                                        4                  7.7918528273478893E-001                                        0                  7.8688481806884658E-001                                        4                  7.9586287595997074E-001                                        0                  8.0025019893731208E-001                                        4                  8.0457294684476632E-001                                        0                  8.2531578667845817E-001                                        4                  8.3457919104904488E-001                                        0                  8.3978385906916009E-001                                        4                  8.4365470377121765E-001                                        0                  8.4685818048549732E-001                                        4                  8.5388947160430373E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000 
                                       2                                     1566                  1.4113006580190862E+004                  3.8863781092484686E+000                  2.9999999883385944E+000                  3.3775627163392173E+001                 -7.7138245947416776E-013                 -1.2112730240813752E+001                  5.7387074562913409E-001                  1.9069197296669471E-001                  7.8133692566463485E-008                  9.9999999972370024E-001                  9.9999999920529736E-001                  2.2689349608528803E-001                  7.8133692566463485E-008                  9.9985473134786285E-001                  9.9980377193341730E-001                  1.9126939630630062E+000                 -3.5714980043038807E+001                 -1.3245319809215172E+001                  1.9126939630630064E+000                  1.1692603056909781E+000                  1.8262232856642306E+000                 -3.5714980043038807E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.6963758650575633E+031                  7.7197591821195721E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0856104396564792E+000                  2.0055069241457781E+000                  7.9723024861323481E+001                  1.9015837683984835E+000                  3.0222416575078059E-001                  4.3107405488330723E+000                  2.0452224386424477E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7853690946826194E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2638468205036008E+002                  3.2237187531492219E-002                  7.9723024861323481E+001                  1.2178966605797121E+004                  7.9723024861323481E+001                  1.2178966605797121E+004                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  7.3798572680420333E+000                  1.5940853759222162E+000                  1.7105428478458066E+001                  1.7105428478458066E+001                  1.5940853759222162E+000                  7.3798572680420333E+000                  6.1849804547228648E-001                  8.4855916718217961E-001                  1.3005220589045690E+000                  6.9711741678785755E-001                  2.8233528885865289E-001                  3.9426294943090511E-005                  9.1935845037531098E-003                  3.4468833607860833E-003                  9.3805276451495532E-003                  2.0977977775351615E+000                  8.4161041247104196E-001                 -9.8999999999999986E+001                                      607                  9.9499868566663319E-001                                      632                  9.8980115457845752E-001                                        0                                        3                                        1                  1.9129024928661575E-001                                        2                  2.2771644312028064E-001                                        0                  9.9926603652010904E-001                                        4                  9.9931520222528725E-001                                        0                  9.9936118259216666E-001                                        4                  9.9940418056025460E-001                                        0                  9.9946349852697836E-001                                        4                  9.9951712439296980E-001                                        0                  9.9956559625820973E-001                                        4                  9.9960940233396167E-001                                        0                  9.9966131189467644E-001                                        4                  9.9970664645034635E-001                                        0                  9.9980377193341730E-001                                        4                  9.9986017629646295E-001                                        0                  9.9988018346389052E-001                                        4                  9.9990922235940338E-001                                        0                  9.9992293500160201E-001                                        4                  9.9994282125345146E-001                                        0                  9.9998534742038903E-001                                        4                  1.0000000000000000E+000                                        1                  1.4890401980027257E-001                                        2                  1.5990024117788809E-001                                        0                  7.6806336610231307E-001                                        4                  7.7128665771674254E-001                                        0                  7.7447521441859035E-001                                        4                  7.7762959044624036E-001                                        0                  7.8229831533301319E-001                                        4                  7.8689340991360535E-001                                        0                  7.9141696134428841E-001                                        4                  7.9587116636259514E-001                                        0                  8.0170626291038449E-001                                        4                  8.0742809705807117E-001                                        0                  8.2263334382159858E-001                                        4                  8.3458630840308490E-001                                        0                  8.3979085021257682E-001                                        4                  8.4879012886623217E-001                                        0                  8.5389602427838751E-001                                        4                  8.6283382888754190E-001                                        0                  8.9819552493400667E-001                                        4                  1.0000000000000000E+000 
                                       3                                     1137                  2.3350610887224881E+004                  3.9655593552960937E+000                  2.9999999812201543E+000                  3.3775627162361673E+001                 -7.7059372993424007E-013                 -1.2113174529018888E+001                  5.8069706217577066E-001                  1.9233447853444463E-001                  7.8133693987982778E-008                  9.9999999972370024E-001                  9.9999999920489657E-001                  2.2936233773452747E-001                  7.8133693987982778E-008                  9.9940418056025471E-001                  9.9924019209327908E-001                  1.9055405177524589E+000                 -3.5715932234990049E+001                 -1.3546349804879153E+001                  1.9055405177524591E+000                  1.1573004143495398E+000                  1.8201216425573843E+000                 -3.5715932234990049E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.4502959149418480E+031                  7.7174171702671169E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0855912649232939E+000                  2.0055967147367149E+000                  7.9716084174868882E+001                  1.9015459570754276E+000                  3.0224360955562235E-001                  4.3107016601928896E+000                  2.0450393086190812E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7851198334208126E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2637356034416121E+002                  3.2234800005633828E-002                  7.9716084174868882E+001                  1.2178428898573969E+004                  7.9716084174868882E+001                  1.2178428898573969E+004                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  7.3798429155891911E+000                  1.5940502443068909E+000                  1.7105375192392181E+001                  1.7105375192392181E+001                  1.5940502443068909E+000                  7.3798429155891911E+000                  6.1850331884463761E-001                  8.4855415238873577E-001                  1.3005347937447074E+000                  6.9710742083720167E-001                  2.8234529006185261E-001                  3.8254803264513238E-005                  9.1927877640410414E-003                  3.4468833607860759E-003                  9.3805276451495410E-003                  2.0977902083379396E+000                  8.4161761174635863E-001                 -9.8999999999999986E+001                                      608                  9.9499868566663330E-001                                      633                  9.8980115692707060E-001                                        0                                        3                                        1                  1.9356568860363479E-001                                        2                  2.3100774132816718E-001                                        0                  9.9924019209327908E-001                                        4                  9.9942462108597585E-001                                        0                  9.9946349852697847E-001                                        4                  9.9953382925734913E-001                                        0                  9.9956559625820984E-001                                        4                  9.9960940233396178E-001                                        0                  9.9964898544350023E-001                                        4                  9.9970664645034646E-001                                        0                  9.9979636705210140E-001                                        4                  9.9986017629646307E-001                                        0                  9.9988018346389063E-001                                        4                  9.9989555672694275E-001                                        0                  9.9992293500160212E-001                                        4                  9.9992911464356538E-001                                        0                  9.9995435365967078E-001                                        4                  9.9996224558445257E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  1.4961476962274536E-001                                        2                  1.6085862759314321E-001                                        0                  7.6643958024517789E-001                                        4                  7.7919512251698519E-001                                        0                  7.8229928357523892E-001                                        4                  7.8841004069692100E-001                                        0                  7.9141788373371869E-001                                        4                  7.9587206755745243E-001                                        0                  8.0025922584995179E-001                                        4                  8.0742894750097371E-001                                        0                  8.2128126106404598E-001                                        4                  8.3458707520696407E-001                                        0                  8.3979161076364606E-001                                        4                  8.4429968363204999E-001                                        0                  8.5389678309774342E-001                                        4                  8.5644684144492145E-001                                        0                  8.6928001764507334E-001                                        4                  8.7451940619355373E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000 
                                       4                                     1001                  3.4435736055665700E+004                  4.0447406013437179E+000                  2.9999999726800732E+000                  3.3775627161125371E+001                 -7.7040907938697380E-013                 -1.2113278607627516E+001                  5.7975524068140016E-001                  1.9233447908196258E-001                  7.8133694500664994E-008                  9.9999999972370024E-001                  9.9999999920471105E-001                  2.2771644430885904E-001                  7.8133694500664994E-008                  9.9942462108597585E-001                  9.9931520222528736E-001                  1.9010801378773716E+000                 -3.5715888472795143E+001                 -1.3847379800543134E+001                  1.9010801378773716E+000                  1.1500132971342738E+000                  1.8162732544690419E+000                 -3.5715888472795143E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2796741597018894E+031                  7.6846314636773939E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0855993238420414E+000                  2.0056760299012000E+000                  7.9728306994720754E+001                  1.9016125420858683E+000                  3.0226078422334729E-001                  4.3106673096211363E+000                  2.0448775623976537E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7848906641735613E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2636241211820857E+002                  3.2237692698453231E-002                  7.9728306994720754E+001                  1.2178654887813222E+004                  7.9728306994720754E+001                  1.2178654887813222E+004                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  7.3798397316155855E+000                  1.5941369151747209E+000                  1.7105454090734575E+001                  1.7105454090734575E+001                  1.5941369151747209E+000                  7.3798397316155855E+000                  6.1850918313014147E-001                  8.4854812527949242E-001                  1.3005500717619638E+000                  6.9709538747545796E-001                  2.8235737610611034E-001                  3.7469872543420427E-005                  9.1918202914839583E-003                  3.4468833607860763E-003                  9.3805276451495376E-003                  2.0977811945587339E+000                  8.4162620883383321E-001                 -9.8999999999999986E+001                                      608                  9.9499868566663330E-001                                      633                  9.8980115974473137E-001                                        0                                        3                                        1                  1.9325174865367459E-001                                        2                  2.3100774198575816E-001                                        0                  9.9909719111049144E-001                                        4                  9.9915726925075021E-001                                        0                  9.9931520222528736E-001                                        4                  9.9944438642908751E-001                                        0                  9.9949984727201069E-001                                        4                  9.9954998052463417E-001                                        0                  9.9958069394387561E-001                                        4                  9.9960940233396178E-001                                        0                  9.9964898544350023E-001                                        4                  9.9970664645034646E-001                                        0                  9.9978870542230325E-001                                        4                  9.9980377193341741E-001                                        0                  9.9981784514839589E-001                                        4                  9.9983098974925932E-001                                        0                  9.9988477109645646E-001                                        4                  9.9989762610772792E-001                                        0                  9.9991968178298829E-001                                        4                  1.0000000000000000E+000                                        1                  1.4950254751221817E-001                                        2                  1.6084379269405480E-001                                        0                  7.5817549364386005E-001                                        4                  7.6150622547945068E-001                                        0                  7.7128258272300632E-001                                        4                  7.8074641058567251E-001                                        0                  7.8536588715573508E-001                                        4                  7.8991311350730420E-001                                        0                  7.9290552004145509E-001                                        4                  7.9586744072990601E-001                                        0                  8.0025468518974252E-001                                        4                  8.0742454863871949E-001                                        0                  8.1991873055282061E-001                                        4                  8.2263004558346808E-001                                        0                  8.2531990338142147E-001                                        4                  8.2798947503504994E-001                                        0                  8.4108090566909099E-001                                        4                  8.4494387719847808E-001                                        0                  8.5261802641897322E-001                                        4                  1.0000000000000000E+000 
                                       5                                      987                  4.7737886257794678E+004                  4.1239218473913430E+000                  2.9999999624283005E+000                  3.3775627159641274E+001                 -7.7068546784402118E-013                 -1.2113122830055971E+001                  5.7735635444949884E-001                  1.9233447973921891E-001                  7.8133694680933510E-008                  9.9999999972370024E-001                  9.9999999920465710E-001                  2.2771644508702463E-001                  7.8133694680933510E-008                  9.9959529050780482E-001                  9.9926603652010915E-001                  1.8987874015595601E+000                 -3.5714993372467916E+001                 -9.8999999999999986E+001                  1.8987874015595601E+000                  1.1464863721497784E+000                  1.8142462060644711E+000                 -3.5714993372467916E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2017989457586000E+031                  7.6670742003595213E+032                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0856267185499755E+000                  2.0057488970448500E+000                  7.9754220847578438E+001                  1.9017536765857066E+000                  3.0227656205739828E-001                  4.3106357524689383E+000                  2.0447289807998717E+004                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7846729370088567E-004                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.2635111108866499E+002                  3.2244351173190473E-002                  7.9754220847578438E+001                  1.2179423125104489E+004                  7.9754220847578438E+001                  1.2179423125104489E+004                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  1.0000000000000000E+000                  7.3798523242401686E+000                  1.5943215548699328E+000                  1.7105646158198038E+001                  1.7105646158198038E+001                  1.5943215548699328E+000                  7.3798523242401686E+000                  6.1851563366912243E-001                  8.4854093040513623E-001                  1.3005682890692676E+000                  6.9708100861646338E-001                  2.8237185428327927E-001                  3.6998481499177214E-005                  9.1906585779132164E-003                  3.4468833607860763E-003                  9.3805276451495410E-003                  2.0977704221116054E+000                  8.4163650846521620E-001                 -9.8999999999999986E+001                                      608                  9.9499868566663330E-001                                      633                  9.8980116312713706E-001                                        0                                        3                                        1                  1.9245212056008401E-001                                        2                  2.3100774277516375E-001                                        0                  9.9926603652010915E-001                                        4                  9.9960940233396178E-001                                        0                  9.9964898544350023E-001                                        4                  9.9970664645034646E-001                                        0                  9.9974622823250070E-001                                        4                  9.9976409076306294E-001                                        0                  9.9979636705210140E-001                                        4                  9.9984909684270740E-001                                        0                  9.9988018346389063E-001                                        4                  9.9989555672694275E-001                                        0                  9.9990355706975631E-001                                        4                  9.9991282947393978E-001                                        0                  9.9995435365967078E-001                                        4                  9.9996224558445257E-001                                        0                  9.9998292048876580E-001                                        4                  9.9999095625836976E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000                                        1                  1.4922817542475161E-001                                        2                  1.6081813313430787E-001                                        0                  7.6804962762135165E-001                                        4                  7.9585884522913963E-001                                        0                  8.0024625182419951E-001                                        4                  8.0741638052201470E-001                                        0                  8.1303162008671992E-001                                        4                  8.1580130272524154E-001                                        0                  8.2126948525763077E-001                                        4                  8.3195133702735125E-001                                        0                  8.3978090437486341E-001                                        4                  8.4428924065782662E-001                                        0                  8.4685543641910588E-001                                        4                  8.5005869802518363E-001                                        0                  8.6927106283503031E-001                                        4                  8.7451077112449838E-001                                        0                  8.9461947374703477E-001                                        4                  9.0880066852389763E-001                                        0                  1.0000000000000000E+000                                       -1                  1.0000000000000000E+000 
