                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.08.1"                               "gfortran"                                 "13.3.0"                   "aarch64-macos-24.7.1"                                 "CRMATH"                               "20250225"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63                                       64                                       65                                       66                                       67                                       68                                       69                                       70                                       71                                       72                                       73                                       74                                       75                                       76                                       77                                       78                                       79                                       80                                       81                                       82                                       83                                       84                                       85                                       86                                       87                                       88                                       89                                       90 
                            model_number                                num_zones                                 star_age                             star_age_day                                      day                                   log_dt                               log_dt_sec                                star_mass                               log_xmstar                             log_abs_mdot                                 L_center                           mass_conv_core                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                     dt_div_min_dr_div_cs                              effective_T                                     Teff                                 log_Teff                               luminosity                                    log_L                                   radius                                    log_R                                    log_g                              v_surf_km_s                        v_div_csound_surf                         v_div_csound_max                      v_surf_div_escape_v                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                                    tot_E                                log_tot_E                                   tot_PE                               log_tot_PE                                   tot_IE                               log_tot_IE                                   tot_KE                               log_tot_KE                                   tot_Et                               log_tot_Et                                rel_E_err                        log_rel_run_E_err                         max_abs_v_div_cs                             rsp_DeltaMag                               rsp_DeltaR                                rsp_GREKM                          rsp_num_periods                       rsp_period_in_days                                rsp_phase                              num_retries                                num_iters                              num_periods                                   period                                   growth                             max_v_div_cs                                  delta_R                               delta_Teff                               delta_logL                                delta_Mag 
                                       1                                      150                  1.5499759866614493E-007                  5.6612872912809438E-005                  5.6612872912809438E-005                 -6.8096750301788758E+000                  6.8942893690635143E-001                  4.1650000000000000E+000                  3.3200088980065416E+001                 -9.8999999999999986E+001                  1.4388000000000000E+003                  0.0000000000000000E+000                 -9.5407423206055046E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.5407423206055046E+000                 -9.5407423206055046E+000                 -2.6746013646767580E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.8913522196667348E-099                  6.0540694070767058E+003                  6.0540694070767058E+003                  3.7820473956323855E+000                  1.4349331469387510E+003                  3.1568316679049038E+000                  3.4665935797774161E+001                  1.5399029283577808E+000                  1.9778767939466781E+000                  9.9998365775130632E-002                  1.3671445745771227E-002                  1.3671445745770254E-002                  4.6706470590440042E-004                  6.3010951609570389E+000                 -2.3895596356558841E+000                  1.2063669182300020E+001                 -2.3895596356558841E+000                  6.3010951609570389E+000                  6.0621426098980291E-001                  8.6500143481053937E-001                  1.2559563725152303E+000                  7.3000000000000009E-001                  2.6297201150688920E-001                  1.5414771489002087E-003                  3.7304302788145937E-003                  1.5414771489002087E-003                  3.7304302788145937E-003                  5.8197714520103905E-001                  2.0964890482815632E-001                 -1.0668086716871299E+048                  4.8028086537248960E+001                 -1.5424254784548565E+048                  4.8188204190483134E+001                  4.7561679043471669E+047                  4.7677257177873550E+001                  1.9887589475543625E+037                  3.7298582146577822E+001                  1.6313122388864849E+040                  4.0212537094484233E+001                  8.4414291925276104E-014                 -1.3073584018080297E+001                  1.3671445745770254E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                  2.8306436456404720E+000                  1.9999999999999998E-005                                        0                                        3                  0.0000000000000000E+000                  2.8306436456404720E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      10                                      150                  4.0235333918978111E-006                  1.4695955713906752E-003                  1.4695955713906752E-003                 -6.0970438157502524E+000                  1.4020601513349746E+000                  4.1650000000000000E+000                  3.3200088980065416E+001                 -9.8999999999999986E+001                  1.4388000000000000E+003                  0.0000000000000000E+000                 -9.5407423227516315E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.5407423227516315E+000                 -9.5407423227516315E+000                 -2.6746013653299023E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  2.5238303077747998E-098                  6.0581466374971988E+003                  6.0581466374971988E+003                  3.7823397812261423E+000                  1.4388024039015208E+003                  3.1580011547513478E+000                  3.4665953345028448E+001                  1.5399031481895435E+000                  1.9778764275593508E+000                  9.9995047171215018E-002                  1.3668671774392276E-002                  1.3668671774392739E-002                  4.6704932382928373E-004                  6.3010951607533423E+000                 -2.3895596360004268E+000                  1.2063669181742320E+001                 -2.3895596360004268E+000                  6.3010951607533423E+000                  6.0621426098985298E-001                  8.6500143481053937E-001                  1.2559563725152303E+000                  7.3000000000000009E-001                  2.6297201150688920E-001                  1.5414771489002087E-003                  3.7304302788145937E-003                  1.5414771489002087E-003                  3.7304302788145937E-003                  5.8197714520103905E-001                  2.0964890482815632E-001                 -1.0668086716871322E+048                  4.8028086537248960E+001                 -1.5424254765143170E+048                  4.8188204189936741E+001                  4.7561678849417509E+047                  4.7677257176101605E+001                  1.9887453661082064E+037                  3.7298579180724538E+001                  1.6313122395090087E+040                  4.0212537094649967E+001                 -6.6923042247065598E-015                 -1.2785258240352254E+001                  1.3668671774392739E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                  2.8306436456404720E+000                  5.1917364223999984E-004                                        0                                        2                  0.0000000000000000E+000                  2.8306436456404720E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      20                                      150                  2.8936191641254087E-005                  1.0568943996968054E-002                  1.0568943996968054E-002                 -5.3052313552740040E+000                  2.1938726118112224E+000                  4.1650000000000000E+000                  3.3200088980065416E+001                 -9.8999999999999986E+001                  1.4388000000000000E+003                  0.0000000000000000E+000                 -9.5407423332963859E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.5407423332963859E+000                 -9.5407423332963859E+000                 -2.6746013673617327E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5626892040606222E-097                  6.0581550814843094E+003                  6.0581550814843094E+003                  3.7823403865555725E+000                  1.4388192703449386E+003                  3.1580062457633953E+000                  3.4666066340508834E+001                  1.5399045637927191E+000                  1.9778740681843670E+000                  9.9983069044105255E-002                  1.3667033333659526E-002                  1.3667033333661366E-002                  4.6699413839067162E-004                  6.3010951602890266E+000                 -2.3895596367858971E+000                  1.2063669180470939E+001                 -2.3895596367858971E+000                  6.3010951602890266E+000                  6.0621426098996678E-001                  8.6500143481053937E-001                  1.2559563725152303E+000                  7.3000000000000009E-001                  2.6297201150688920E-001                  1.5414771489002087E-003                  3.7304302788145937E-003                  1.5414771489002087E-003                  3.7304302788145937E-003                  5.8197714520103905E-001                  2.0964890482815632E-001                 -1.0668086716872146E+048                  4.8028086537248996E+001                 -1.5424254640794761E+048                  4.8188204186435513E+001                  4.7561677605926276E+047                  4.7677257164747054E+001                  1.9881854021936540E+037                  3.7298456880763119E+001                  1.6313116950283492E+040                  4.0212536949696116E+001                 -2.3879358256337471E-014                 -1.2559239718478931E+001                  1.3667033333661366E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                  2.8306436456404720E+000                  3.7337599924474724E-003                                        0                                        2                  0.0000000000000000E+000                  2.8306436456404720E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      30                                      150                  1.3773826729255968E-004                  5.0308902128607426E-002                  5.0308902128607426E-002                 -4.8888562762265009E+000                  2.6102476908587264E+000                  4.1650000000000000E+000                  3.3200088980065416E+001                 -9.8999999999999986E+001                  1.4388000000000000E+003                  0.0000000000000000E+000                 -9.5407423645784473E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.5407423645784473E+000                 -9.5407423645784473E+000                 -2.6746013686941772E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0761268497222796E-097                  6.0581276106719988E+003                  6.0581276106719988E+003                  3.7823384172350303E+000                  1.4388314355057671E+003                  3.1580099176907828E+000                  3.4666559256361893E+001                  1.5399107389702256E+000                  1.9778626191376349E+000                  9.9701985096118814E-002                  1.3628642728006098E-002                  1.3628642728005133E-002                  4.6568458129142451E-004                  6.3010951591407602E+000                 -2.3895596387284668E+000                  1.2063669177326728E+001                 -2.3895596387284668E+000                  6.3010951591407602E+000                  6.0621426099024789E-001                  8.6500143481053937E-001                  1.2559563725152303E+000                  7.3000000000000009E-001                  2.6297201150688920E-001                  1.5414771489002087E-003                  3.7304302788145937E-003                  1.5414771489002087E-003                  3.7304302788145937E-003                  5.8197714520103905E-001                  2.0964890482815632E-001                 -1.0668086716876971E+048                  4.8028086537249187E+001                 -1.5424254102858794E+048                  4.8188204171289065E+001                  4.7561672226549193E+047                  4.7677257115626965E+001                  1.9761677404231919E+037                  3.7295823805458255E+001                  1.6312928569570416E+040                  4.0212531934518651E+001                 -1.0205763942672099E-013                 -1.1948645281472228E+001                  1.3628642728005133E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                  2.8306436456404720E+000                  1.7772954997740221E-002                                        0                                        2                  0.0000000000000000E+000                  2.8306436456404720E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      40                                      150                  2.6690293284768041E-004                  9.7486296222615273E-002                  9.7486296222615273E-002                 -4.8888562762265009E+000                  2.6102476908587264E+000                  4.1650000000000000E+000                  3.3200088980065416E+001                 -9.8999999999999986E+001                  1.4388000000000000E+003                  0.0000000000000000E+000                 -9.5407424518137063E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.5407424518137063E+000                 -9.5407424518137063E+000                 -2.6746013991093690E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0761268497222796E-097                  6.0580564067899004E+003                  6.0580564067899004E+003                  3.7823333127478351E+000                  1.4388083236089112E+003                  3.1580029415783355E+000                  3.4667141198564217E+001                  1.5399180293437555E+000                  1.9778480263154827E+000                  9.8852893257343172E-002                  1.3512636391229781E-002                  1.3512636391229762E-002                  4.6172254790195657E-004                  6.3010951512828584E+000                 -2.3895596520228133E+000                  1.2063669155809272E+001                 -2.3895596520228133E+000                  6.3010951512828584E+000                  6.0621426099217290E-001                  8.6500143481053937E-001                  1.2559563725152303E+000                  7.3000000000000009E-001                  2.6297201150688920E-001                  1.5414771489002087E-003                  3.7304302788145937E-003                  1.5414771489002087E-003                  3.7304302788145937E-003                  5.8197714520103905E-001                  2.0964890482815632E-001                 -1.0668086716880552E+048                  4.8028086537249337E+001                 -1.5424253464241445E+048                  4.8188204153307780E+001                  4.7561665840426736E+047                  4.7677257057314087E+001                  1.9419396482473422E+037                  3.7288235728743750E+001                  1.6312402446560186E+040                  4.0212517927468724E+001                 -3.0875858127596728E-014                 -1.1759564880094963E+001                  1.3512636391229762E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                  2.8306436456404720E+000                  3.4439621664406880E-002                                        0                                        2                  0.0000000000000000E+000                  2.8306436456404720E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      50                                      150                  3.9606759840280111E-004                  1.4466369031662313E-001                  1.4466369031662313E-001                 -4.8888562762265009E+000                  2.6102476908587264E+000                  4.1650000000000000E+000                  3.3200088980065416E+001                 -9.8999999999999986E+001                  1.4388000000000000E+003                  0.0000000000000000E+000                 -9.5407425403608102E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.5407425403608102E+000                 -9.5407425403608102E+000                 -2.6746014278831336E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0761268497222796E-097                  6.0579971923646890E+003                  6.0579971923646890E+003                  3.7823290677190542E+000                  1.4387958419320519E+003                  3.1579991740529407E+000                  3.4667716528548837E+001                  1.5399252367613745E+000                  1.9778335912317035E+000                  9.7447795386087610E-002                  1.3320619021622833E-002                  1.3320619021621908E-002                  4.5516338717075858E-004                  6.3010951436089018E+000                 -2.3895596650059634E+000                  1.2063669134795505E+001                 -2.3895596650059634E+000                  6.3010951436089018E+000                  6.0621426099405329E-001                  8.6500143481053937E-001                  1.2559563725152303E+000                  7.3000000000000009E-001                  2.6297201150688920E-001                  1.5414771489002087E-003                  3.7304302788145937E-003                  1.5414771489002087E-003                  3.7304302788145937E-003                  5.8197714520103905E-001                  2.0964890482815632E-001                 -1.0668086716881378E+048                  4.8028086537249372E+001                 -1.5424252830800738E+048                  4.8188204135472240E+001                  4.7561659506139798E+047                  4.7677256999474523E+001                  1.8867797706769475E+037                  3.7275721211261136E+001                  1.6311670167037719E+040                  4.0212498431131792E+001                  4.7150325219479042E-015                 -1.1732372361776886E+001                  1.3320619021621908E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                  2.8306436456404720E+000                  5.1106288331073536E-002                                        0                                        2                  0.0000000000000000E+000                  2.8306436456404720E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      60                                      150                  5.2523226395792186E-004                  1.9184108441063097E-001                  1.9184108441063097E-001                 -4.8888562762265009E+000                  2.6102476908587264E+000                  4.1650000000000000E+000                  3.3200088980065416E+001                 -9.8999999999999986E+001                  1.4388000000000000E+003                  0.0000000000000000E+000                 -9.5407426270358950E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.5407426270358950E+000                 -9.5407426270358950E+000                 -2.6746014555087044E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0761268497222796E-097                  6.0579415081187890E+003                  6.0579415081187890E+003                  3.7823250757277904E+000                  1.4387859050177867E+003                  3.1579961746267475E+000                  3.4668282056622850E+001                  1.5399323212694778E+000                  1.9778193941921349E+000                  9.5515539494562873E-002                  1.3056536903032340E-002                  1.3056536903027424E-002                  4.4614176145663076E-004                  6.3010951361663494E+000                 -2.3895596775975769E+000                  1.2063669114415424E+001                 -2.3895596775975769E+000                  6.3010951361663494E+000                  6.0621426099587683E-001                  8.6500143481053937E-001                  1.2559563725152303E+000                  7.3000000000000009E-001                  2.6297201150688920E-001                  1.5414771489002087E-003                  3.7304302788145937E-003                  1.5414771489002087E-003                  3.7304302788145937E-003                  5.8197714520103905E-001                  2.0964890482815632E-001                 -1.0668086716880663E+048                  4.8028086537249337E+001                 -1.5424252207010908E+048                  4.8188204117908441E+001                  4.7561653268409761E+047                  4.7677256942516628E+001                  1.8119085232056274E+037                  3.7258136267915923E+001                  1.6310807835092092E+040                  4.0212475471134361E+001                  3.3613618946792152E-014                 -1.1688026050414445E+001                  1.3056536903027424E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                  2.8306436456404720E+000                  6.7772954997740206E-002                                        0                                        2                  0.0000000000000000E+000                  2.8306436456404720E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      70                                      150                  6.5439692951304261E-004                  2.3901847850463884E-001                  2.3901847850463884E-001                 -4.8888562762265009E+000                  2.6102476908587264E+000                  4.1650000000000000E+000                  3.3200088980065416E+001                 -9.8999999999999986E+001                  1.4388000000000000E+003                  0.0000000000000000E+000                 -9.5407427111046150E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.5407427111046150E+000                 -9.5407427111046150E+000                 -2.6746014818158663E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0761268497222796E-097                  6.0578798168487847E+003                  6.0578798168487847E+003                  3.7823206530514524E+000                  1.4387692055796877E+003                  3.1579911339074296E+000                  3.4668835012745291E+001                  1.5399392481739371E+000                  1.9778055064776783E+000                  9.3192692051457499E-002                  1.2739059274725330E-002                  1.2739059274726619E-002                  4.3529548784852919E-004                  6.3010951290799238E+000                 -2.3895596895867164E+000                  1.2063669095010525E+001                 -2.3895596895867164E+000                  6.3010951290799238E+000                  6.0621426099761300E-001                  8.6500143481053937E-001                  1.2559563725152303E+000                  7.3000000000000009E-001                  2.6297201150688920E-001                  1.5414771489002087E-003                  3.7304302788145937E-003                  1.5414771489002087E-003                  3.7304302788145937E-003                  5.8197714520103905E-001                  2.0964890482815632E-001                 -1.0668086716877835E+048                  4.8028086537249223E+001                 -1.5424251596876008E+048                  4.8188204100729116E+001                  4.7561647167277884E+047                  4.7677256886806035E+001                  1.7189793647930896E+037                  3.7235270663301193E+001                  1.6309848765757738E+040                  4.0212449934032215E+001                  8.4262194101935693E-014                 -1.1578928102891478E+001                  1.2739059274726619E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                  2.8306436456404720E+000                  8.4439621664406855E-002                                        0                                        3                  0.0000000000000000E+000                  2.8306436456404720E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                      80                                      150                  7.8356159506816337E-004                  2.8619587259864665E-001                  2.8619587259864665E-001                 -4.8888562762265009E+000                  2.6102476908587264E+000                  4.1650000000000000E+000                  3.3200088980065416E+001                 -9.8999999999999986E+001                  1.4388000000000000E+003                  0.0000000000000000E+000                 -9.5407427923302173E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.5407427923302173E+000                 -9.5407427923302173E+000                 -2.6746015069660587E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0761268497222796E-097                  6.0578079751549740E+003                  6.0578079751549740E+003                  3.7823155026296642E+000                  1.4387414769806267E+003                  3.1579827639106566E+000                  3.4669373468436561E+001                  1.5399459933247162E+000                  1.9777919773000285E+000                  9.0519076832378018E-002                  1.2373641475065362E-002                  1.2373641475062350E-002                  4.2281053191205647E-004                  6.3010951223935434E+000                 -2.3895597008989999E+000                  1.2063669076701077E+001                 -2.3895597008989999E+000                  6.3010951223935434E+000                  6.0621426099925124E-001                  8.6500143481053937E-001                  1.2559563725152303E+000                  7.3000000000000009E-001                  2.6297201150688920E-001                  1.5414771489002087E-003                  3.7304302788145937E-003                  1.5414771489002087E-003                  3.7304302788145937E-003                  5.8197714520103905E-001                  2.0964890482815632E-001                 -1.0668086716871591E+048                  4.8028086537248967E+001                 -1.5424251004092855E+048                  4.8188204084038361E+001                  4.7561641239721740E+047                  4.7677256832680385E+001                  1.6100446013948195E+037                  3.7206837907007845E+001                  1.6308808478031163E+040                  4.0212422232633230E+001                  1.6000691009979826E-013                 -1.1412581878160699E+001                  1.2373641475062350E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                                        0                  2.8306436456404720E+000                  1.0110628833107352E-001                                        0                                        3                  0.0000000000000000E+000                  2.8306436456404720E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
