bin,cell,sinc,rInner,rOuter,aAnn,aDisk
0,0,1,0,0.2217488,0.1568001604,0.1568001604
1,1,1,0.2217488,0.6692062,1.2544012832,1.4112014436
2,13,1,0.6692062,1.0255882,1.8816019248,3.2928033684
3,25,1,1.0255882,1.7462718,6.272006416,9.5648097844
4,37,1,1.7462718,2.9738098,18.1888186064,27.5968282304
5,49,1,2.9738098,4.5854484,38.2592391376,66.0128675284
6,61,0,4.5854484,7.3573084,104.1153065056,170.128174034
7,73,0,7.3573084,11.305229,231.4370367504,401.5652107844
8,85,0,11.305229,18.01709,618.4198326176,1019.985043402
9,97,0,18.01709,27.9205498,1429.0766618856,2449.0617052876
10,109,0,27.9205498,43.7676694,3569.0852510248,6018.1469563124
11,121,0,43.7676694,68.3025902,8638.7480370776,14656.89499339
12,133,0,68.3025902,106.7245296,21125.9992110128,35782.8942044028
13,145,0,106.7245296,166.5135498,51323.5149018072,87106.40910621
14,157,0,166.5135498,258.37695,122622.115837291,209728.524943501
